"","...1","X","Department","Physical","Bio","Food","Sports.Science","Day","Starting.Time","Ending.Time","Number.of.Credits","Course.Title","Course.Code","Subject.Code","Course","Academic.Year","Location","Lecture.Type","General","Special","Semester.Half","Lecturer in Charge","Lecturing Hours","Time Slot"
"27",82,82,"Forestry and Environmental Science",0,1,0,0,"Thursday",10:15:00,12:00:00,2,"Assignment on Forest Management Plan Preparation","EMF 454 2.0","EMF","EMF 454 2.0 Assignment on Forest Management Plan Preparation",4,"SP - Forestry","Lecture",0,1,1,"Prof. Upul Subasinghe",2,"10:15:00 - 12:00:00"
"28",85,85,"Forestry and Environmental Science",0,1,0,0,"Thursday",13:00:00,15:00:00,1,"Energy and Environment","EMF 471 1.0","EMF","EMF 471 1.0 Energy and Environment",4,"SP - Forestry","Lecture",0,1,1,"Dr. Daham Jayawardana",2,"13:00:00 - 15:00:00"
"29",88,88,"Forestry and Environmental Science",1,0,0,0,"Wednesday",10:15:00,12:00:00,2,"Environmental Economics","ECN 104 2.0","ECN","ECN 104 2.0 Environmental Economics",1,"BLT","Lecture",1,0,1,"Prof. B W R Damayanthi",2,"10:15:00 - 12:00:00"
"30",89,89,"Forestry and Environmental Science",1,0,0,0,"Wednesday",10:15:00,12:00:00,2,"Environmental Economics","ECN 104 2.0","ECN","ECN 104 2.0 Environmental Economics",1,"BLT","Lecture",1,0,1,"Dr. J M M Udugama",2,"10:15:00 - 12:00:00"
"31",91,91,"Forestry and Environmental Science",1,0,0,0,"Thursday",08:00:00,09:45:00,3,"Principles of Macroeconomics","ECN 103 3.0","ECN","ECN 103 3.0 Principles of Macroeconomics",1,"F3","Lecture",1,0,1,"Mr. Anura Jayasinghe",2,"08:00:00 - 09:45:00"
"32",94,94,"Forestry and Environmental Science",1,0,0,0,"Tuesday",10:15:00,12:00:00,3,"Intermediate Macroeconomics","ECN 203 3.0","ECN","ECN 203 3.0 Intermediate Macroeconomics",2,"F1","Lecture",1,0,1,"Prof. B W R Damayanthi",2,"10:15:00 - 12:00:00"
"33",97,97,"Forestry and Environmental Science",1,0,0,0,"Wednesday",08:00:00,09:45:00,3,"Intermediate Macroeconomics","ECN 203 3.1","ECN","ECN 203 3.1 Intermediate Macroeconomics",2,"F2","Lecture",1,0,1,"Prof. B W R Damayanthi",2,"08:00:00 - 09:45:00"
"34",100,100,"Forestry and Environmental Science",1,0,0,0,"Thursday",13:00:00,15:00:00,3,"Advanced Resource Economics","ECN 204 3.0","ECN","ECN 204 3.0 Advanced Resource Economics",2,"F3","Lecture",1,0,1,"Prof. U A D P Gunawardena",2,"13:00:00 - 15:00:00"
"35",103,103,"Forestry and Environmental Science",1,0,0,0,"Tuesday",08:00:00,09:45:00,2,"Advanced Resource Economics","ECN 303 2.0","ECN","ECN 303 2.0 Advanced Resource Economics",3,"F1","Lecture",1,0,1,"Ms. K D De S Jayasekara",2,"08:00:00 - 09:45:00"
"36",106,106,"Forestry and Environmental Science",1,0,0,0,"Wednesday",15:00:00,17:00:00,2,"Project Planning and Analysis","ECN 304 2.0","ECN","ECN 304 2.0 Project Planning and Analysis",3,"F1","Lecture",1,0,1,"Prof. U A D P Gunawardena",2,"15:00:00 - 17:00:00"
"37",107,107,"Forestry and Environmental Science",1,0,0,0,"Wednesday",15:00:00,17:00:00,2,"Project Planning and Analysis","ECN 304 2.0","ECN","ECN 304 2.0 Project Planning and Analysis",3,"F1","Lecture",1,0,1,"Dr. Chandarasekara",2,"15:00:00 - 17:00:00"
"38",109,109,"Forestry and Environmental Science",1,0,0,0,"Friday",08:00:00,08:50:00,1,"Health Economics","ECN 305 1.0","ECN","ECN 305 1.0 Health Economics",3,"F3","Lecture",1,0,1,"Ms. C T Jayaratne",1,"08:00:00 - 08:50:00"
"39",112,112,"Food Science and Tech",0,0,1,0,"Monday",08:00:00,08:50:00,1,"Principles of Organic Chemistry","FST 167 1.0","FST","FST 167 1.0 Principles of Organic Chemistry",1,"S1","Lecture",0,1,1,"Dr. Laksiri Weerasinghe",1,"08:00:00 - 08:50:00"
"40",115,115,"Food Science and Tech",0,0,1,0,"Monday",10:15:00,11:05:00,1,"Introduction To Animal Based Food products","FST 170 1.0","FST","FST 170 1.0 Introduction To Animal Based Food products",1,"NFC5","Lecture",0,1,1,"Prof. I. Wickramasinghe",1,"10:15:00 - 11:05:00"
"41",118,118,"Food Science and Tech",0,1,0,0,"Monday",10:15:00,11:05:00,2,"Introduction To Animal Based Food products","FSC 122 2.0","FSC","FSC 122 2.0 Introduction To Animal Based Food products",1,"NFC5","Lecture",1,0,1,"Prof. I. Wickramasinghe",1,"10:15:00 - 11:05:00"
"42",121,121,"Food Science and Tech",0,0,1,0,"Monday",11:10:00,12:00:00,1,"Introduction To Crop Based Food Products","FST 175 1.0","FST","FST 175 1.0 Introduction To Crop Based Food Products",1,"NFC5","Lecture",0,1,1,"Dr. Madhura Jayasinghe",1,"11:10:00 - 12:00:00"
"43",124,124,"Food Science and Tech",0,1,0,0,"Monday",11:10:00,12:00:00,2,"Introduction To Crop Based Food Products","FSC 122 2.0","FSC","FSC 122 2.0 Introduction To Crop Based Food Products",1,"NFC5","Lecture",1,0,1,"Dr. Madhura Jayasinghe",1,"11:10:00 - 12:00:00"
"44",127,127,"Food Science and Tech",0,0,1,0,"Monday",15:00:00,16:00:00,1,"Chemistry of Living system","FST 163 1.0","FST","FST 163 1.0 Chemistry of Living system",1,"NFC5","Lecture",0,1,1,"Prof. Jagath Wansapala",1,"15:00:00 - 16:00:00"
"45",130,130,"Food Science and Tech",0,1,0,0,"Monday",15:00:00,16:00:00,1,"Basics of Biochemistry","FSC 131 1.0","FSC","FSC 131 1.0 Basics of Biochemistry",1,"NFC5","Lecture",1,0,1,"Prof. Jagath Wansapala",1,"15:00:00 - 16:00:00"
"46",133,133,"Food Science and Tech",0,0,1,0,"Tuesday",08:00:00,08:50:00,2,"Introduction to Analytical Chemistry","FST 164 2.0","FST","FST 164 2.0 Introduction to Analytical Chemistry",1,"S1","Lecture",0,1,1,"Dr. Asitha Cooray",1,"08:00:00 - 08:50:00"
"47",136,136,"Food Science and Tech",0,0,1,0,"Tuesday",11:10:00,12:00:00,1,"Principles of Physics II","FST 180 1.0","FST","FST 180 1.0 Principles of Physics II",1,"NFC2","Lecture",0,1,1,"Mr. Chehan Yapa",1,"11:10:00 - 12:00:00"
"48",139,139,"Food Science and Tech",0,0,1,0,"Tuesday",13:00:00,14:00:00,1,"Applied Human Nutrition","FST 169 1.0","FST","FST 169 1.0 Applied Human Nutrition",1,"NFC2","Lecture",0,1,1,"Dr. Madhura Jayasinghe",1,"13:00:00 - 14:00:00"
"49",142,142,"Food Science and Tech",0,0,1,0,"Tuesday",14:00:00,15:00:00,1,"Organizational Behavior","FST 158 1.0","FST","FST 158 1.0 Organizational Behavior",1,"NFC2","Lecture",0,1,1,"Dr. Dulani Somendrika",1,"14:00:00 - 15:00:00"
"50",148,148,"Food Science and Tech",0,0,1,0,"Wednesday",10:15:00,12:00:00,2,"Food Microbiology","FST 187 2.0","FST","FST 187 2.0 Food Microbiology",1,"NFC2","Lecture",0,1,1,"Prof. R.A.U.J. Marapana",2,"10:15:00 - 12:00:00"
"51",151,151,"Food Science and Tech",0,1,0,0,"Wednesday",13:00:00,14:00:00,1,"Food Business Management II","FSC 112 1.0","FSC","FSC 112 1.0 Food Business Management II",1,"NFC2","Lecture",1,0,1,"Dr. Piumi Abeysundara",1,"13:00:00 - 14:00:00"
"52",154,154,"Food Science and Tech",0,0,1,0,"Wednesday",14:00:00,15:00:00,1,"Business Economics","FST 159 1.0","FST","FST 159 1.0 Business Economics",1,"NFC2","Lecture",0,1,1,"VL",1,"14:00:00 - 15:00:00"
"53",160,160,"Food Science and Tech",0,0,1,0,"Monday",08:55:00,09:45:00,1,"Post Harvest Management of Animal Commodities","FST 267 1.0","FST","FST 267 1.0 Post Harvest Management of Animal Commodities",2,"NFC5","Lecture",0,1,1,"Prof. I. Wickramasinghe",1,"08:55:00 - 09:45:00"
"54",163,163,"Food Science and Tech",0,0,1,0,"Monday",13:00:00,14:00:00,1,"Dietetics I","FST 268 1.0","FST","FST 268 1.0 Dietetics I",2,"NFC5","Lecture",0,1,1,"Dr. Madhura Jayasinghe",1,"13:00:00 - 14:00:00"
"55",169,169,"Food Science and Tech",0,0,1,0,"Wednesday",08:00:00,09:45:00,2,"Statistics for Food Science I","FST 251 2.0","FST","FST 251 2.0 Statistics for Food Science I",2,"NFC5","Lecture",0,1,1,"Ms. Asha Mallikarachchi",2,"08:00:00 - 09:45:00"
"56",172,172,"Food Science and Tech",0,0,1,0,"Wednesday",10:15:00,11:05:00,1,"Organic Spectros copy","FST 261 1.0","FST","FST 261 1.0 Organic Spectros copy",2,"S1","Lecture",0,1,1,"Dr. Upul Kumarasinghe",1,"10:15:00 - 11:05:00"
"57",175,175,"Food Science and Tech",0,0,1,0,"Wednesday",11:10:00,12:00:00,1,"Electrochemistry","FST 262 1.0","FST","FST 262 1.0 Electrochemistry",2,"S1","Lecture",0,1,1,"Dr. Tharindu Senapathi",1,"11:10:00 - 12:00:00"
"58",178,178,"Food Science and Tech",0,0,1,0,"Wednesday",13:00:00,15:00:00,2,"Unit Operation In Food Processing","FST 280 2.0","FST","FST 280 2.0 Unit Operation In Food Processing",2,"NFC5","Lecture",0,1,1,"VL",2,"13:00:00 - 15:00:00"
"59",181,181,"Food Science and Tech",0,0,1,0,"Thursday",08:55:00,09:45:00,1,"Bakery Science","FST 292 1.0","FST","FST 292 1.0 Bakery Science",2,"NFC5","Lecture",0,1,1,"Dr. Suraji Senanayake",1,"08:55:00 - 09:45:00"
"60",184,184,"Food Science and Tech",0,1,0,0,"Thursday",10:15:00,11:05:00,1,"Food Business Management II","FSC 211 1.0","FSC","FSC 211 1.0 Food Business Management II",2,"NFC2","Lecture",1,0,1,"Dr. Dulani Somendrika",1,"10:15:00 - 11:05:00"
"61",187,187,"Food Science and Tech",0,0,1,0,"Thursday",11:10:00,12:00:00,1,"Post Harvest Management of Plant Commodities","FST 266 1.0","FST","FST 266 1.0 Post Harvest Management of Plant Commodities",2,"NFC5","Lecture",0,1,1,"Dr. Dulani Somendrika",1,"11:10:00 - 12:00:00"
"62",190,190,"Food Science and Tech",0,1,0,0,"Thursday",11:10:00,12:00:00,1,"Post Harvest Management","FSC 252 1.0","FSC","FSC 252 1.0 Post Harvest Management",2,"NFC5","Lecture",1,0,1,"Dr. Dulani Somendrika",1,"11:10:00 - 12:00:00"
"63",193,193,"Food Science and Tech",0,0,1,0,"Thursday",14:00:00,15:00:00,2,"Chemical Kinetics","FST 264 2.0","FST","FST 264 2.0 Chemical Kinetics",2,"S1","Lecture",0,1,1,"Dr. S Rajapaksha",1,"14:00:00 - 15:00:00"
"64",196,196,"Food Science and Tech",0,0,1,0,"Thursday",15:00:00,16:00:00,1,"Food Packaging","FST 282 1.0","FST","FST 282 1.0 Food Packaging",2,"NFC5","Lecture",0,1,1,"Dr. Chathuni Jayathilaka",1,"15:00:00 - 16:00:00"
"65",199,199,"Food Science and Tech",0,0,1,0,"Friday",08:55:00,11:05:00,2,"Food Chemistry","FST 290 2.0","FST","FST 290 2.0 Food Chemistry",2,"NFC5","Lecture",0,1,1,"Prof. Jagath Wansapala",2,"08:55:00 - 11:05:00"
"66",202,202,"Food Science and Tech",0,1,0,0,"Friday",08:55:00,11:05:00,2,"Food Chemistry","FSC 231 2.0","FSC","FSC 231 2.0 Food Chemistry",2,"NFC5","Lecture",1,0,1,"Prof. Jagath Wansapala",2,"08:55:00 - 11:05:00"
"67",205,205,"Food Science and Tech",0,0,1,0,"Friday",13:00:00,14:00:00,1,"Basic Management, Accounting and Finance","FST 298 1.0","FST","FST 298 1.0 Basic Management, Accounting and Finance",2,"NFC5","Lecture",0,1,1,"VL",1,"13:00:00 - 14:00:00"
"68",208,208,"Food Science and Tech",0,0,1,0,"Monday",08:00:00,09:45:00,2,"Regression Analysis","FST 366 2.0","FST","FST 366 2.0 Regression Analysis",3,"NFC2","Lecture",0,1,1,"Ms. Asha Mallikarachchi",2,"08:00:00 - 09:45:00"
"69",211,211,"Food Science and Tech",0,0,1,0,"Monday",10:15:00,11:05:00,1,"Project Management","FST 367 1.0","FST","FST 367 1.0  Project Management",3,"NFC2","Lecture",0,1,1,"Prof. Jagath Jayasinghe",1,"10:15:00 - 11:05:00"
"70",214,214,"Food Science and Tech",0,0,1,0,"Monday",11:10:00,12:00:00,2,"Sustainability and Circular Economy","FST 359 1.0","FST","FST 359 1.0 Sustainability and Circular Economy",3,"NFC2","Lecture",0,1,1,"Dr. Dulani Somendrika",1,"11:10:00 - 12:00:00"
"71",217,217,"Food Science and Tech",0,0,1,0,"Monday",14:00:00,15:00:00,1,"Spices, Root Crops","FST 386 1.0","FST","FST 386 1.0 Spices, Root Crops",3,"NFC5","Lecture",0,1,1,"Dr. Dulani Somendrika",1,"14:00:00 - 15:00:00"
"72",220,220,"Food Science and Tech",0,0,1,0,"Tuesday",08:55:00,09:45:00,1,"Grain Technology","FST 383 1.0","FST","FST 383 1.0 Grain Technology",3,"NFC5","Lecture",0,1,1,"Dr. Suraji Senanayake",1,"08:55:00 - 09:45:00"
"73",223,223,"Food Science and Tech",0,0,1,0,"Tuesday",10:15:00,11:05:00,1,"Fish & Meat Process Technology","FST 374 1.0","FST","FST 374 1.0 Fish & Meat Process Technology",3,"NFC5","Lecture",0,1,1,"Prof. I. Wickramasinghe",1,"10:15:00 - 11:05:00"
"74",226,226,"Food Science and Tech",0,1,0,0,"Tuesday",10:15:00,11:05:00,1,"Fish & Meat Process Technology","FSC 371 1.0","FSC","FSC 371 1.0 Fish & Meat Process Technology",3,"NFC5","Lecture",1,0,1,"Prof. I. Wickramasinghe",1,"10:15:00 - 11:05:00"
"75",229,229,"Food Science and Tech",0,0,1,0,"Tuesday",11:10:00,12:00:00,1,"Dairy Process Technology","FST 399 1.0","FST","FST 399 1.0 Dairy Process Technology",3,"NFC5","Lecture",0,1,1,"Prof. R.A.U.J. Marapana",1,"11:10:00 - 12:00:00"
"76",232,232,"Food Science and Tech",0,1,0,0,"Tuesday",11:10:00,12:00:00,1,"Dairy Technology","FSC 372 1.0","FSC","FSC 372 1.0 Dairy Technology",3,"NFC5","Lecture",1,0,1,"Prof. R.A.U.J. Marapana",1,"11:10:00 - 12:00:00"
"77",235,235,"Food Science and Tech",0,0,1,0,"Tuesday",13:00:00,14:00:00,1,"Fat and Oil Technology","FST 387 1.0","FST","FST 387 1.0 Fat and Oil Technology",3,"NFC2","Lecture",0,1,1,"Dr. Piumi Abeysundara",1,"13:00:00 - 14:00:00"
"78",238,238,"Food Science and Tech",0,1,0,0,"Tuesday",14:00:00,15:00:00,1,"Seminar","FSC 395 1.0","FSC","FSC 395 1.0 Seminar",3,"NFC2","Lecture",1,0,1,"Dr. Isuru Wijesekara",1,"14:00:00 - 15:00:00"
"79",244,244,"Food Science and Tech",0,0,1,0,"Thursday",08:00:00,09:45:00,2,"Emerging Food Technology","FST 368 2.0","FST","FST 368 2.0 Emerging Food Technology",3,"NFC2","Lecture",0,1,1,"Senior Prof. K.K.D.S. Ranaweera",2,"08:00:00 - 09:45:00"
"80",247,247,"Food Science and Tech",0,0,1,0,"Thursday",10:15:00,11:05:00,1,"Fruit & Vegetable Process & Technology","FST 384 1.0","FST","FST 384 1.0 Fruit & Vegetable Process & Technology",3,"NFC5","Lecture",0,1,1,"Prof. R.A.U.J. Marapana",1,"10:15:00 - 11:05:00"
"81",250,250,"Food Science and Tech",0,1,0,0,"Thursday",10:15:00,11:05:00,1,"Fruit & Vegetable Process & Technology","FSC 373 1.0","FSC","FSC 373 1.0 Fruit & Vegetable Process & Technology",3,"NFC5","Lecture",1,0,1,"Prof. R.A.U.J. Marapana",1,"10:15:00 - 11:05:00"
"82",253,253,"Food Science and Tech",0,0,1,0,"Thursday",11:10:00,12:00:00,2,"Social Mobilization","FST 380 2.0","FST","FST 380 2.0 Social Mobilization",3,"NFC2","Lecture",0,1,1,"Prof. Jagath Jayasinghe",1,"11:10:00 - 12:00:00"
"83",256,256,"Food Science and Tech",0,0,1,0,"Thursday",13:00:00,14:00:00,1,"Food Biotechnology","FSC 362 1.0","FSC","FSC 362 1.0 Food Biotechnology",3,"NFC5","Lecture",1,0,1,"Senior Prof. K.K.D.S. Ranaweera",1,"13:00:00 - 14:00:00"
"84",259,259,"Food Science and Tech",0,1,0,0,"Thursday",15:00:00,16:00:00,1,"Food Packaging","FSC 353 1.0","FSC","FSC 353 1.0 Food Packaging",3,"NFC5","Lecture",1,0,1,"Dr. Chathuni Jayathilaka",1,"15:00:00 - 16:00:00"
"85",262,262,"Food Science and Tech",0,0,1,0,"Friday",11:10:00,12:00:00,1,"Sensory Analysis","FST 362 1.0","FST","FST 362 1.0 Sensory Analysis",3,"NFC5","Lecture",0,1,1,"Dr. Chathuni Jayathilaka",1,"11:10:00 - 12:00:00"
"86",265,265,"Food Science and Tech",0,0,1,0,"Friday",15:00:00,16:00:00,1,"Mechanical Aspects of Food Technology","FST 391 1.0","FST","FST 391 1.0 Mechanical Aspects of Food Technology",3,"NFC5","Lecture",0,1,1,"VL",1,"15:00:00 - 16:00:00"
"87",268,268,"Food Science and Tech",0,0,1,0,"Friday",08:00:00,08:50:00,1,"Introduction to Multivariate Statistics","FST 452 1.0","FST","FST 452 1.0 Introduction to Multivariate Statistics",4,"NFC2","Lecture",0,1,1,"Ms. Asha Mallikarachchi",1,"08:00:00 - 08:50:00"
"88",271,271,"Food Science and Tech",0,0,1,0,"Friday",08:55:00,09:45:00,1,"Nano Technology in Food System","FST 482 1.0","FST","FST 482 1.0 Nano Technology in Food System",4,"NFC2","Lecture",0,1,1,"VL",1,"08:55:00 - 09:45:00"
"89",274,274,"Food Science and Tech",0,0,1,0,"Friday",10:15:00,12:00:00,1,"Career Skills Development","FST 457 1.0","FST","FST 457 1.0 Career Skills Development",4,"NFC2","Lecture",0,1,1,"VL",2,"10:15:00 - 12:00:00"
"90",277,277,"Food Science and Tech",0,0,1,0,"Friday",13:00:00,14:00:00,1,"Industrial Microbiology","FST 481 1.0","FST","FST 481 1.0 Industrial Microbiology",4,"NFC2","Lecture",0,1,1,"Dr. Piumi Abeysundara",1,"13:00:00 - 14:00:00"
"91",280,280,"Food Science and Tech",0,0,1,0,"Friday",14:00:00,15:00:00,1,"Strategic Management","FST 458 1.0","FST","FST 458 1.0 Strategic Management",4,"NFC2","Lecture",0,1,1,"Prof. Jagath Jayasinghe",1,"14:00:00 - 15:00:00"
"92",283,283,"Computer Science",1,0,0,0,"Monday",08:00:00,09:45:00,2,"Software Engineering II","CSC 112 2.0","CSC","CSC 112 2.0 Software Engineering II",1,"NFC3","Lecture",1,0,1,"Dr. EATA Edirisuriya",2,"08:00:00 - 09:45:00"
"93",286,286,"Computer Science",1,0,0,0,"Tuesday",08:00:00,09:45:00,1,"Computer Programming - Laboratory","CSC 111 1.0","CSC","CSC 111 1.0 Computer Programming - Laboratory",1,"NFC3","Lecture",1,0,1,"Mr. AMRR Bandara",2,"08:00:00 - 09:45:00"
"94",287,287,"Computer Science",1,0,0,0,"Tuesday",08:00:00,09:45:00,1,"Computer Programming - Laboratory","CSC 111 1.0","CSC","CSC 111 1.0 Computer Programming - Laboratory",1,"NFC3","Lecture",1,0,1,"Ms. FS Sourjah",2,"08:00:00 - 09:45:00"
"95",289,289,"Computer Science",1,0,0,0,"Wednesday",10:15:00,12:00:00,2,"Object Oriented Programming","CSC 110 2.0","CSC","CSC 110 2.0  Object Oriented Programming",1,"NFC3","Lecture",1,0,1,"Dr. TMKK Jinasena",2,"10:15:00 - 12:00:00"
