"","Location","Day","TimeSlot","Availability","AvailabilityDescription"
"64","Activity Room - Physics","Monday","08:00 - 08:50",0,"Available"
"65","Activity Room - Physics","Monday","08:55 - 09:45",0,"Available"
"66","Activity Room - Physics","Monday","10:15 - 11:05",0,"Available"
"67","Activity Room - Physics","Monday","11:10 - 12:00",0,"Available"
"68","Activity Room - Physics","Monday","13:00 - 14:00",1,"Not Available"
"69","Activity Room - Physics","Monday","14:00 - 15:00",1,"Not Available"
"70","Activity Room - Physics","Monday","15:00 - 16:00",1,"Not Available"
"71","Activity Room - Physics","Monday","16:00 - 17:00",0,"Available"
"72","Activity Room - Physics","Monday","17:00 - 17:45",0,"Available"
"73","Activity Room - Physics","Tuesday","08:00 - 08:50",1,"Not Available"
"74","Activity Room - Physics","Tuesday","08:55 - 09:45",0,"Available"
"75","Activity Room - Physics","Tuesday","10:15 - 11:05",1,"Not Available"
"76","Activity Room - Physics","Tuesday","11:10 - 12:00",1,"Not Available"
"77","Activity Room - Physics","Tuesday","13:00 - 14:00",0,"Available"
"78","Activity Room - Physics","Tuesday","14:00 - 15:00",0,"Available"
"79","Activity Room - Physics","Tuesday","15:00 - 16:00",0,"Available"
"80","Activity Room - Physics","Tuesday","16:00 - 17:00",0,"Available"
"81","Activity Room - Physics","Tuesday","17:00 - 17:45",0,"Available"
"82","Activity Room - Physics","Wednesday","08:00 - 08:50",0,"Available"
"83","Activity Room - Physics","Wednesday","08:55 - 09:45",1,"Not Available"
"84","Activity Room - Physics","Wednesday","10:15 - 11:05",1,"Not Available"
"85","Activity Room - Physics","Wednesday","11:10 - 12:00",1,"Not Available"
"86","Activity Room - Physics","Wednesday","13:00 - 14:00",1,"Not Available"
"87","Activity Room - Physics","Wednesday","14:00 - 15:00",1,"Not Available"
"88","Activity Room - Physics","Wednesday","15:00 - 16:00",1,"Not Available"
"89","Activity Room - Physics","Wednesday","16:00 - 17:00",0,"Available"
"90","Activity Room - Physics","Wednesday","17:00 - 17:45",0,"Available"
"91","Activity Room - Physics","Thursday","08:00 - 08:50",0,"Available"
"92","Activity Room - Physics","Thursday","08:55 - 09:45",0,"Available"
"93","Activity Room - Physics","Thursday","10:15 - 11:05",0,"Available"
"94","Activity Room - Physics","Thursday","11:10 - 12:00",0,"Available"
"95","Activity Room - Physics","Thursday","13:00 - 14:00",0,"Available"
"96","Activity Room - Physics","Thursday","14:00 - 15:00",0,"Available"
"97","Activity Room - Physics","Thursday","15:00 - 16:00",0,"Available"
"98","Activity Room - Physics","Thursday","16:00 - 17:00",0,"Available"
"99","Activity Room - Physics","Thursday","17:00 - 17:45",0,"Available"
"100","Activity Room - Physics","Friday","08:00 - 08:50",1,"Not Available"
"101","Activity Room - Physics","Friday","08:55 - 09:45",1,"Not Available"
"102","Activity Room - Physics","Friday","10:15 - 11:05",1,"Not Available"
"103","Activity Room - Physics","Friday","11:10 - 12:00",1,"Not Available"
"104","Activity Room - Physics","Friday","13:00 - 14:00",0,"Available"
"105","Activity Room - Physics","Friday","14:00 - 15:00",0,"Available"
"106","Activity Room - Physics","Friday","15:00 - 16:00",0,"Available"
"107","Activity Room - Physics","Friday","16:00 - 17:00",0,"Available"
"108","Activity Room - Physics","Friday","17:00 - 17:45",0,"Available"
"109","Activity Room - Physics","Saturday","08:00 - 08:50",0,"Available"
"110","Activity Room - Physics","Saturday","08:55 - 09:45",0,"Available"
"111","Activity Room - Physics","Saturday","10:15 - 11:05",0,"Available"
"112","Activity Room - Physics","Saturday","11:10 - 12:00",0,"Available"
"113","Activity Room - Physics","Saturday","13:00 - 14:00",0,"Available"
"114","Activity Room - Physics","Saturday","14:00 - 15:00",0,"Available"
"115","Activity Room - Physics","Saturday","15:00 - 16:00",0,"Available"
"116","Activity Room - Physics","Saturday","16:00 - 17:00",0,"Available"
"117","Activity Room - Physics","Saturday","17:00 - 17:45",0,"Available"
"118","Activity Room - Physics","Sunday","08:00 - 08:50",0,"Available"
"119","Activity Room - Physics","Sunday","08:55 - 09:45",0,"Available"
"120","Activity Room - Physics","Sunday","10:15 - 11:05",0,"Available"
"121","Activity Room - Physics","Sunday","11:10 - 12:00",0,"Available"
"122","Activity Room - Physics","Sunday","13:00 - 14:00",0,"Available"
"123","Activity Room - Physics","Sunday","14:00 - 15:00",0,"Available"
"124","Activity Room - Physics","Sunday","15:00 - 16:00",0,"Available"
"125","Activity Room - Physics","Sunday","16:00 - 17:00",0,"Available"
"126","Activity Room - Physics","Sunday","17:00 - 17:45",0,"Available"
"127","B1","Monday","08:00 - 08:50",0,"Available"
"128","B1","Monday","08:55 - 09:45",0,"Available"
"129","B1","Monday","10:15 - 11:05",0,"Available"
"130","B1","Monday","11:10 - 12:00",0,"Available"
"131","B1","Monday","13:00 - 14:00",0,"Available"
"132","B1","Monday","14:00 - 15:00",1,"Not Available"
"133","B1","Monday","15:00 - 16:00",1,"Not Available"
"134","B1","Monday","16:00 - 17:00",0,"Available"
"135","B1","Monday","17:00 - 17:45",0,"Available"
"136","B1","Tuesday","08:00 - 08:50",0,"Available"
"137","B1","Tuesday","08:55 - 09:45",0,"Available"
"138","B1","Tuesday","10:15 - 11:05",1,"Not Available"
"139","B1","Tuesday","11:10 - 12:00",1,"Not Available"
"140","B1","Tuesday","13:00 - 14:00",0,"Available"
"141","B1","Tuesday","14:00 - 15:00",0,"Available"
"142","B1","Tuesday","15:00 - 16:00",1,"Not Available"
"143","B1","Tuesday","16:00 - 17:00",1,"Not Available"
"144","B1","Tuesday","17:00 - 17:45",0,"Available"
"145","B1","Wednesday","08:00 - 08:50",0,"Available"
"146","B1","Wednesday","08:55 - 09:45",0,"Available"
"147","B1","Wednesday","10:15 - 11:05",0,"Available"
"148","B1","Wednesday","11:10 - 12:00",0,"Available"
"149","B1","Wednesday","13:00 - 14:00",1,"Not Available"
"150","B1","Wednesday","14:00 - 15:00",1,"Not Available"
"151","B1","Wednesday","15:00 - 16:00",0,"Available"
"152","B1","Wednesday","16:00 - 17:00",0,"Available"
"153","B1","Wednesday","17:00 - 17:45",0,"Available"
"154","B1","Thursday","08:00 - 08:50",0,"Available"
"155","B1","Thursday","08:55 - 09:45",0,"Available"
"156","B1","Thursday","10:15 - 11:05",1,"Not Available"
"157","B1","Thursday","11:10 - 12:00",1,"Not Available"
"158","B1","Thursday","13:00 - 14:00",1,"Not Available"
"159","B1","Thursday","14:00 - 15:00",1,"Not Available"
"160","B1","Thursday","15:00 - 16:00",0,"Available"
"161","B1","Thursday","16:00 - 17:00",0,"Available"
"162","B1","Thursday","17:00 - 17:45",0,"Available"
"163","B1","Friday","08:00 - 08:50",0,"Available"
"164","B1","Friday","08:55 - 09:45",0,"Available"
"165","B1","Friday","10:15 - 11:05",0,"Available"
"166","B1","Friday","11:10 - 12:00",0,"Available"
"167","B1","Friday","13:00 - 14:00",0,"Available"
"168","B1","Friday","14:00 - 15:00",0,"Available"
"169","B1","Friday","15:00 - 16:00",0,"Available"
"170","B1","Friday","16:00 - 17:00",0,"Available"
"171","B1","Friday","17:00 - 17:45",0,"Available"
"172","B1","Saturday","08:00 - 08:50",0,"Available"
"173","B1","Saturday","08:55 - 09:45",0,"Available"
"174","B1","Saturday","10:15 - 11:05",0,"Available"
"175","B1","Saturday","11:10 - 12:00",0,"Available"
"176","B1","Saturday","13:00 - 14:00",0,"Available"
"177","B1","Saturday","14:00 - 15:00",0,"Available"
"178","B1","Saturday","15:00 - 16:00",0,"Available"
"179","B1","Saturday","16:00 - 17:00",0,"Available"
"180","B1","Saturday","17:00 - 17:45",0,"Available"
"181","B1","Sunday","08:00 - 08:50",0,"Available"
"182","B1","Sunday","08:55 - 09:45",0,"Available"
"183","B1","Sunday","10:15 - 11:05",0,"Available"
"184","B1","Sunday","11:10 - 12:00",0,"Available"
"185","B1","Sunday","13:00 - 14:00",0,"Available"
"186","B1","Sunday","14:00 - 15:00",0,"Available"
"187","B1","Sunday","15:00 - 16:00",0,"Available"
"188","B1","Sunday","16:00 - 17:00",0,"Available"
"189","B1","Sunday","17:00 - 17:45",0,"Available"
"190","B2","Monday","08:00 - 08:50",1,"Not Available"
"191","B2","Monday","08:55 - 09:45",1,"Not Available"
"192","B2","Monday","10:15 - 11:05",1,"Not Available"
"193","B2","Monday","11:10 - 12:00",1,"Not Available"
"194","B2","Monday","13:00 - 14:00",1,"Not Available"
"195","B2","Monday","14:00 - 15:00",1,"Not Available"
"196","B2","Monday","15:00 - 16:00",1,"Not Available"
"197","B2","Monday","16:00 - 17:00",1,"Not Available"
"198","B2","Monday","17:00 - 17:45",0,"Available"
"199","B2","Tuesday","08:00 - 08:50",0,"Available"
"200","B2","Tuesday","08:55 - 09:45",0,"Available"
"201","B2","Tuesday","10:15 - 11:05",1,"Not Available"
"202","B2","Tuesday","11:10 - 12:00",1,"Not Available"
"203","B2","Tuesday","13:00 - 14:00",1,"Not Available"
"204","B2","Tuesday","14:00 - 15:00",1,"Not Available"
"205","B2","Tuesday","15:00 - 16:00",0,"Available"
"206","B2","Tuesday","16:00 - 17:00",0,"Available"
"207","B2","Tuesday","17:00 - 17:45",0,"Available"
"208","B2","Wednesday","08:00 - 08:50",0,"Available"
"209","B2","Wednesday","08:55 - 09:45",0,"Available"
"210","B2","Wednesday","10:15 - 11:05",0,"Available"
"211","B2","Wednesday","11:10 - 12:00",0,"Available"
"212","B2","Wednesday","13:00 - 14:00",0,"Available"
"213","B2","Wednesday","14:00 - 15:00",0,"Available"
"214","B2","Wednesday","15:00 - 16:00",0,"Available"
"215","B2","Wednesday","16:00 - 17:00",0,"Available"
"216","B2","Wednesday","17:00 - 17:45",0,"Available"
"217","B2","Thursday","08:00 - 08:50",0,"Available"
"218","B2","Thursday","08:55 - 09:45",0,"Available"
"219","B2","Thursday","10:15 - 11:05",1,"Not Available"
"220","B2","Thursday","11:10 - 12:00",1,"Not Available"
"221","B2","Thursday","13:00 - 14:00",0,"Available"
"222","B2","Thursday","14:00 - 15:00",0,"Available"
"223","B2","Thursday","15:00 - 16:00",0,"Available"
"224","B2","Thursday","16:00 - 17:00",0,"Available"
"225","B2","Thursday","17:00 - 17:45",0,"Available"
"226","B2","Friday","08:00 - 08:50",0,"Available"
"227","B2","Friday","08:55 - 09:45",0,"Available"
"228","B2","Friday","10:15 - 11:05",0,"Available"
"229","B2","Friday","11:10 - 12:00",0,"Available"
"230","B2","Friday","13:00 - 14:00",1,"Not Available"
"231","B2","Friday","14:00 - 15:00",1,"Not Available"
"232","B2","Friday","15:00 - 16:00",0,"Available"
"233","B2","Friday","16:00 - 17:00",0,"Available"
"234","B2","Friday","17:00 - 17:45",0,"Available"
"235","B2","Saturday","08:00 - 08:50",0,"Available"
"236","B2","Saturday","08:55 - 09:45",1,"Not Available"
"237","B2","Saturday","10:15 - 11:05",1,"Not Available"
"238","B2","Saturday","11:10 - 12:00",1,"Not Available"
"239","B2","Saturday","13:00 - 14:00",1,"Not Available"
"240","B2","Saturday","14:00 - 15:00",1,"Not Available"
"241","B2","Saturday","15:00 - 16:00",0,"Available"
"242","B2","Saturday","16:00 - 17:00",0,"Available"
"243","B2","Saturday","17:00 - 17:45",0,"Available"
"244","B2","Sunday","08:00 - 08:50",0,"Available"
"245","B2","Sunday","08:55 - 09:45",1,"Not Available"
"246","B2","Sunday","10:15 - 11:05",1,"Not Available"
"247","B2","Sunday","11:10 - 12:00",1,"Not Available"
"248","B2","Sunday","13:00 - 14:00",1,"Not Available"
"249","B2","Sunday","14:00 - 15:00",1,"Not Available"
"250","B2","Sunday","15:00 - 16:00",1,"Not Available"
"251","B2","Sunday","16:00 - 17:00",0,"Available"
"252","B2","Sunday","17:00 - 17:45",0,"Available"
"253","B3","Monday","08:00 - 08:50",0,"Available"
"254","B3","Monday","08:55 - 09:45",0,"Available"
"255","B3","Monday","10:15 - 11:05",1,"Not Available"
"256","B3","Monday","11:10 - 12:00",1,"Not Available"
"257","B3","Monday","13:00 - 14:00",1,"Not Available"
"258","B3","Monday","14:00 - 15:00",1,"Not Available"
"259","B3","Monday","15:00 - 16:00",1,"Not Available"
"260","B3","Monday","16:00 - 17:00",1,"Not Available"
"261","B3","Monday","17:00 - 17:45",0,"Available"
"262","B3","Tuesday","08:00 - 08:50",1,"Not Available"
"263","B3","Tuesday","08:55 - 09:45",1,"Not Available"
"264","B3","Tuesday","10:15 - 11:05",1,"Not Available"
"265","B3","Tuesday","11:10 - 12:00",1,"Not Available"
"266","B3","Tuesday","13:00 - 14:00",1,"Not Available"
"267","B3","Tuesday","14:00 - 15:00",1,"Not Available"
"268","B3","Tuesday","15:00 - 16:00",1,"Not Available"
"269","B3","Tuesday","16:00 - 17:00",1,"Not Available"
"270","B3","Tuesday","17:00 - 17:45",1,"Not Available"
"271","B3","Wednesday","08:00 - 08:50",1,"Not Available"
"272","B3","Wednesday","08:55 - 09:45",1,"Not Available"
"273","B3","Wednesday","10:15 - 11:05",1,"Not Available"
"274","B3","Wednesday","11:10 - 12:00",1,"Not Available"
"275","B3","Wednesday","13:00 - 14:00",0,"Available"
"276","B3","Wednesday","14:00 - 15:00",0,"Available"
"277","B3","Wednesday","15:00 - 16:00",0,"Available"
"278","B3","Wednesday","16:00 - 17:00",0,"Available"
"279","B3","Wednesday","17:00 - 17:45",0,"Available"
"280","B3","Thursday","08:00 - 08:50",1,"Not Available"
"281","B3","Thursday","08:55 - 09:45",1,"Not Available"
"282","B3","Thursday","10:15 - 11:05",0,"Available"
"283","B3","Thursday","11:10 - 12:00",0,"Available"
"284","B3","Thursday","13:00 - 14:00",0,"Available"
"285","B3","Thursday","14:00 - 15:00",0,"Available"
"286","B3","Thursday","15:00 - 16:00",0,"Available"
"287","B3","Thursday","16:00 - 17:00",0,"Available"
"288","B3","Thursday","17:00 - 17:45",0,"Available"
"289","B3","Friday","08:00 - 08:50",0,"Available"
"290","B3","Friday","08:55 - 09:45",1,"Not Available"
"291","B3","Friday","10:15 - 11:05",1,"Not Available"
"292","B3","Friday","11:10 - 12:00",0,"Available"
"293","B3","Friday","13:00 - 14:00",1,"Not Available"
"294","B3","Friday","14:00 - 15:00",1,"Not Available"
"295","B3","Friday","15:00 - 16:00",0,"Available"
"296","B3","Friday","16:00 - 17:00",0,"Available"
"297","B3","Friday","17:00 - 17:45",0,"Available"
"298","B3","Saturday","08:00 - 08:50",0,"Available"
"299","B3","Saturday","08:55 - 09:45",1,"Not Available"
"300","B3","Saturday","10:15 - 11:05",1,"Not Available"
"301","B3","Saturday","11:10 - 12:00",0,"Available"
"302","B3","Saturday","13:00 - 14:00",0,"Available"
"303","B3","Saturday","14:00 - 15:00",0,"Available"
"304","B3","Saturday","15:00 - 16:00",0,"Available"
"305","B3","Saturday","16:00 - 17:00",0,"Available"
"306","B3","Saturday","17:00 - 17:45",0,"Available"
"307","B3","Sunday","08:00 - 08:50",0,"Available"
"308","B3","Sunday","08:55 - 09:45",0,"Available"
"309","B3","Sunday","10:15 - 11:05",0,"Available"
"310","B3","Sunday","11:10 - 12:00",0,"Available"
"311","B3","Sunday","13:00 - 14:00",0,"Available"
"312","B3","Sunday","14:00 - 15:00",0,"Available"
"313","B3","Sunday","15:00 - 16:00",0,"Available"
"314","B3","Sunday","16:00 - 17:00",0,"Available"
"315","B3","Sunday","17:00 - 17:45",0,"Available"
"316","BLC","Monday","08:00 - 08:50",0,"Available"
"317","BLC","Monday","08:55 - 09:45",0,"Available"
"318","BLC","Monday","10:15 - 11:05",0,"Available"
"319","BLC","Monday","11:10 - 12:00",0,"Available"
"320","BLC","Monday","13:00 - 14:00",0,"Available"
"321","BLC","Monday","14:00 - 15:00",0,"Available"
"322","BLC","Monday","15:00 - 16:00",0,"Available"
"323","BLC","Monday","16:00 - 17:00",0,"Available"
"324","BLC","Monday","17:00 - 17:45",0,"Available"
"325","BLC","Tuesday","08:00 - 08:50",1,"Not Available"
"326","BLC","Tuesday","08:55 - 09:45",1,"Not Available"
"327","BLC","Tuesday","10:15 - 11:05",0,"Available"
"328","BLC","Tuesday","11:10 - 12:00",0,"Available"
"329","BLC","Tuesday","13:00 - 14:00",0,"Available"
"330","BLC","Tuesday","14:00 - 15:00",0,"Available"
"331","BLC","Tuesday","15:00 - 16:00",0,"Available"
"332","BLC","Tuesday","16:00 - 17:00",0,"Available"
"333","BLC","Tuesday","17:00 - 17:45",0,"Available"
"334","BLC","Wednesday","08:00 - 08:50",0,"Available"
"335","BLC","Wednesday","08:55 - 09:45",0,"Available"
"336","BLC","Wednesday","10:15 - 11:05",0,"Available"
"337","BLC","Wednesday","11:10 - 12:00",0,"Available"
"338","BLC","Wednesday","13:00 - 14:00",0,"Available"
"339","BLC","Wednesday","14:00 - 15:00",0,"Available"
"340","BLC","Wednesday","15:00 - 16:00",0,"Available"
"341","BLC","Wednesday","16:00 - 17:00",0,"Available"
"342","BLC","Wednesday","17:00 - 17:45",0,"Available"
"343","BLC","Thursday","08:00 - 08:50",0,"Available"
"344","BLC","Thursday","08:55 - 09:45",0,"Available"
"345","BLC","Thursday","10:15 - 11:05",0,"Available"
"346","BLC","Thursday","11:10 - 12:00",0,"Available"
"347","BLC","Thursday","13:00 - 14:00",0,"Available"
"348","BLC","Thursday","14:00 - 15:00",0,"Available"
"349","BLC","Thursday","15:00 - 16:00",0,"Available"
"350","BLC","Thursday","16:00 - 17:00",0,"Available"
"351","BLC","Thursday","17:00 - 17:45",0,"Available"
"352","BLC","Friday","08:00 - 08:50",0,"Available"
"353","BLC","Friday","08:55 - 09:45",0,"Available"
"354","BLC","Friday","10:15 - 11:05",0,"Available"
"355","BLC","Friday","11:10 - 12:00",0,"Available"
"356","BLC","Friday","13:00 - 14:00",0,"Available"
"357","BLC","Friday","14:00 - 15:00",0,"Available"
"358","BLC","Friday","15:00 - 16:00",0,"Available"
"359","BLC","Friday","16:00 - 17:00",0,"Available"
"360","BLC","Friday","17:00 - 17:45",0,"Available"
"361","BLC","Saturday","08:00 - 08:50",0,"Available"
"362","BLC","Saturday","08:55 - 09:45",0,"Available"
"363","BLC","Saturday","10:15 - 11:05",0,"Available"
"364","BLC","Saturday","11:10 - 12:00",0,"Available"
"365","BLC","Saturday","13:00 - 14:00",0,"Available"
"366","BLC","Saturday","14:00 - 15:00",0,"Available"
"367","BLC","Saturday","15:00 - 16:00",0,"Available"
"368","BLC","Saturday","16:00 - 17:00",0,"Available"
"369","BLC","Saturday","17:00 - 17:45",0,"Available"
"370","BLC","Sunday","08:00 - 08:50",0,"Available"
"371","BLC","Sunday","08:55 - 09:45",0,"Available"
"372","BLC","Sunday","10:15 - 11:05",0,"Available"
"373","BLC","Sunday","11:10 - 12:00",0,"Available"
"374","BLC","Sunday","13:00 - 14:00",0,"Available"
"375","BLC","Sunday","14:00 - 15:00",0,"Available"
"376","BLC","Sunday","15:00 - 16:00",0,"Available"
"377","BLC","Sunday","16:00 - 17:00",0,"Available"
"378","BLC","Sunday","17:00 - 17:45",0,"Available"
"379","BLT","Monday","08:00 - 08:50",0,"Available"
"380","BLT","Monday","08:55 - 09:45",0,"Available"
"381","BLT","Monday","10:15 - 11:05",0,"Available"
"382","BLT","Monday","11:10 - 12:00",0,"Available"
"383","BLT","Monday","13:00 - 14:00",0,"Available"
"384","BLT","Monday","14:00 - 15:00",0,"Available"
"385","BLT","Monday","15:00 - 16:00",0,"Available"
"386","BLT","Monday","16:00 - 17:00",0,"Available"
"387","BLT","Monday","17:00 - 17:45",0,"Available"
"388","BLT","Tuesday","08:00 - 08:50",0,"Available"
"389","BLT","Tuesday","08:55 - 09:45",0,"Available"
"390","BLT","Tuesday","10:15 - 11:05",0,"Available"
"391","BLT","Tuesday","11:10 - 12:00",0,"Available"
"392","BLT","Tuesday","13:00 - 14:00",0,"Available"
"393","BLT","Tuesday","14:00 - 15:00",0,"Available"
"394","BLT","Tuesday","15:00 - 16:00",0,"Available"
"395","BLT","Tuesday","16:00 - 17:00",1,"Not Available"
"396","BLT","Tuesday","17:00 - 17:45",0,"Available"
"397","BLT","Wednesday","08:00 - 08:50",0,"Available"
"398","BLT","Wednesday","08:55 - 09:45",0,"Available"
"399","BLT","Wednesday","10:15 - 11:05",1,"Not Available"
"400","BLT","Wednesday","11:10 - 12:00",1,"Not Available"
"401","BLT","Wednesday","13:00 - 14:00",0,"Available"
"402","BLT","Wednesday","14:00 - 15:00",0,"Available"
"403","BLT","Wednesday","15:00 - 16:00",0,"Available"
"404","BLT","Wednesday","16:00 - 17:00",0,"Available"
"405","BLT","Wednesday","17:00 - 17:45",0,"Available"
"406","BLT","Thursday","08:00 - 08:50",0,"Available"
"407","BLT","Thursday","08:55 - 09:45",0,"Available"
"408","BLT","Thursday","10:15 - 11:05",1,"Not Available"
"409","BLT","Thursday","11:10 - 12:00",0,"Available"
"410","BLT","Thursday","13:00 - 14:00",0,"Available"
"411","BLT","Thursday","14:00 - 15:00",0,"Available"
"412","BLT","Thursday","15:00 - 16:00",0,"Available"
"413","BLT","Thursday","16:00 - 17:00",0,"Available"
"414","BLT","Thursday","17:00 - 17:45",0,"Available"
"415","BLT","Friday","08:00 - 08:50",0,"Available"
"416","BLT","Friday","08:55 - 09:45",0,"Available"
"417","BLT","Friday","10:15 - 11:05",0,"Available"
"418","BLT","Friday","11:10 - 12:00",0,"Available"
"419","BLT","Friday","13:00 - 14:00",0,"Available"
"420","BLT","Friday","14:00 - 15:00",0,"Available"
"421","BLT","Friday","15:00 - 16:00",0,"Available"
"422","BLT","Friday","16:00 - 17:00",0,"Available"
"423","BLT","Friday","17:00 - 17:45",0,"Available"
"424","BLT","Saturday","08:00 - 08:50",0,"Available"
"425","BLT","Saturday","08:55 - 09:45",0,"Available"
"426","BLT","Saturday","10:15 - 11:05",0,"Available"
"427","BLT","Saturday","11:10 - 12:00",0,"Available"
"428","BLT","Saturday","13:00 - 14:00",0,"Available"
"429","BLT","Saturday","14:00 - 15:00",0,"Available"
"430","BLT","Saturday","15:00 - 16:00",0,"Available"
"431","BLT","Saturday","16:00 - 17:00",0,"Available"
"432","BLT","Saturday","17:00 - 17:45",0,"Available"
"433","BLT","Sunday","08:00 - 08:50",0,"Available"
"434","BLT","Sunday","08:55 - 09:45",0,"Available"
"435","BLT","Sunday","10:15 - 11:05",0,"Available"
"436","BLT","Sunday","11:10 - 12:00",0,"Available"
"437","BLT","Sunday","13:00 - 14:00",0,"Available"
"438","BLT","Sunday","14:00 - 15:00",0,"Available"
"439","BLT","Sunday","15:00 - 16:00",0,"Available"
"440","BLT","Sunday","16:00 - 17:00",0,"Available"
"441","BLT","Sunday","17:00 - 17:45",0,"Available"
"442","C1","Monday","08:00 - 08:50",1,"Not Available"
"443","C1","Monday","08:55 - 09:45",0,"Available"
"444","C1","Monday","10:15 - 11:05",1,"Not Available"
"445","C1","Monday","11:10 - 12:00",1,"Not Available"
"446","C1","Monday","13:00 - 14:00",0,"Available"
"447","C1","Monday","14:00 - 15:00",0,"Available"
"448","C1","Monday","15:00 - 16:00",0,"Available"
"449","C1","Monday","16:00 - 17:00",1,"Not Available"
"450","C1","Monday","17:00 - 17:45",0,"Available"
"451","C1","Tuesday","08:00 - 08:50",1,"Not Available"
"452","C1","Tuesday","08:55 - 09:45",1,"Not Available"
"453","C1","Tuesday","10:15 - 11:05",1,"Not Available"
"454","C1","Tuesday","11:10 - 12:00",1,"Not Available"
"455","C1","Tuesday","13:00 - 14:00",1,"Not Available"
"456","C1","Tuesday","14:00 - 15:00",0,"Available"
"457","C1","Tuesday","15:00 - 16:00",0,"Available"
"458","C1","Tuesday","16:00 - 17:00",1,"Not Available"
"459","C1","Tuesday","17:00 - 17:45",1,"Not Available"
"460","C1","Wednesday","08:00 - 08:50",1,"Not Available"
"461","C1","Wednesday","08:55 - 09:45",0,"Available"
"462","C1","Wednesday","10:15 - 11:05",1,"Not Available"
"463","C1","Wednesday","11:10 - 12:00",1,"Not Available"
"464","C1","Wednesday","13:00 - 14:00",0,"Available"
"465","C1","Wednesday","14:00 - 15:00",0,"Available"
"466","C1","Wednesday","15:00 - 16:00",0,"Available"
"467","C1","Wednesday","16:00 - 17:00",0,"Available"
"468","C1","Wednesday","17:00 - 17:45",0,"Available"
